

wavelength(nm), Y
1571.36, -6.67412
1571.36, -6.64637
1571.36, -6.6188
1571.36, -6.59143
1571.36, -6.56424
1571.36, -6.53725
1571.36, -6.51043
1571.35, -6.48381
1571.35, -6.45737
1571.35, -6.43111
1571.35, -6.40503
1571.35, -6.37913
1571.35, -6.35342
1571.35, -6.32788
1571.35, -6.30252
1571.34, -6.27734
1571.34, -6.25233
1571.34, -6.2275
1571.34, -6.20284
1571.34, -6.17835
1571.34, -6.15404
1571.34, -6.12989
1571.34, -6.10592
1571.33, -6.08212
1571.33, -6.05848
1571.33, -6.03501
1571.33, -6.01171
1571.33, -5.98857
1571.33, -5.96559
1571.33, -5.94278
1571.33, -5.92013
1571.32, -5.89765
1571.32, -5.87532
1571.32, -5.85316
1571.32, -5.83115
1571.32, -5.80931
1571.32, -5.78762
1571.32, -5.76609
1571.32, -5.74471
1571.32, -5.72349
1571.31, -5.70242
1571.31, -5.68151
1571.31, -5.66075
1571.31, -5.64015
1571.31, -5.61969
1571.31, -5.59939
1571.31, -5.57924
1571.31, -5.55924
1571.3, -5.53938
1571.3, -5.51968
1571.3, -5.50012
1571.3, -5.48071
1571.3, -5.46144
1571.3, -5.44232
1571.3, -5.42335
1571.3, -5.40452
1571.29, -5.38583
1571.29, -5.36729
1571.29, -5.34889
1571.29, -5.33063
1571.29, -5.31251
1571.29, -5.29454
1571.29, -5.2767
1571.29, -5.25901
1571.28, -5.24145
1571.28, -5.22403
1571.28, -5.20675
1571.28, -5.18961
1571.28, -5.1726
1571.28, -5.15573
1571.28, -5.139
1571.28, -5.1224
1571.28, -5.10593
1571.27, -5.0896
1571.27, -5.07341
1571.27, -5.05734
1571.27, -5.04141
1571.27, -5.02561
1571.27, -5.00995
1571.27, -4.99441
1571.27, -4.97901
1571.26, -4.96373
1571.26, -4.94859
1571.26, -4.93358
1571.26, -4.91869
1571.26, -4.90393
1571.26, -4.88931
1571.26, -4.87481
1571.26, -4.86043
1571.25, -4.84619
1571.25, -4.83207
1571.25, -4.81807
1571.25, -4.8042
1571.25, -4.79046
1571.25, -4.77684
1571.25, -4.76335
1571.25, -4.74998
1571.24, -4.73674
1571.24, -4.72361
1571.24, -4.71061
1571.24, -4.69774
1571.24, -4.68498
1571.24, -4.67235
1571.24, -4.65984
1571.24, -4.64745
1571.24, -4.63518
1571.23, -4.62303
1571.23, -4.61101
1571.23, -4.5991
1571.23, -4.58731
1571.23, -4.57564
1571.23, -4.56409
1571.23, -4.55266
1571.23, -4.54134
1571.22, -4.53015
1571.22, -4.51907
1571.22, -4.50811
1571.22, -4.49727
1571.22, -4.48654
1571.22, -4.47593
1571.22, -4.46544
1571.22, -4.45506
1571.21, -4.4448
1571.21, -4.43465
1571.21, -4.42462
1571.21, -4.4147
1571.21, -4.4049
1571.21, -4.39521
1571.21, -4.38564
1571.21, -4.37618
1571.2, -4.36683
1571.2, -4.3576
1571.2, -4.34848
1571.2, -4.33947
1571.2, -4.33058
1571.2, -4.32179
1571.2, -4.31312
1571.2, -4.30457
1571.2, -4.29612
1571.19, -4.28778
1571.19, -4.27956
1571.19, -4.27145
1571.19, -4.26345
1571.19, -4.25556
1571.19, -4.24778
1571.19, -4.24011
1571.19, -4.23255
1571.18, -4.2251
1571.18, -4.21776
1571.18, -4.21053
1571.18, -4.20341
1571.18, -4.1964
1571.18, -4.18949
1571.18, -4.1827
1571.18, -4.17601
1571.17, -4.16944
1571.17, -4.16297
1571.17, -4.15661
1571.17, -4.15036
1571.17, -4.14421
1571.17, -4.13818
1571.17, -4.13225
1571.17, -4.12643
1571.16, -4.12071
1571.16, -4.1151
1571.16, -4.1096
1571.16, -4.10421
1571.16, -4.09892
1571.16, -4.09374
1571.16, -4.08867
1571.16, -4.0837
1571.16, -4.07884
1571.15, -4.07409
1571.15, -4.06944
1571.15, -4.0649
1571.15, -4.06046
1571.15, -4.05613
1571.15, -4.0519
1571.15, -4.04778
1571.15, -4.04377
1571.14, -4.03986
1571.14, -4.03606
1571.14, -4.03236
1571.14, -4.02876
1571.14, -4.02527
1571.14, -4.02189
1571.14, -4.01861
1571.14, -4.01544
1571.13, -4.01237
1571.13, -4.0094
1571.13, -4.00654
1571.13, -4.00378
1571.13, -4.00113
1571.13, -3.99858
1571.13, -3.99614
1571.13, -3.9938
1571.12, -3.99157
1571.12, -3.98943
1571.12, -3.98741
1571.12, -3.98548
1571.12, -3.98367
1571.12, -3.98195
1571.12, -3.98034
1571.12, -3.97883
1571.12, -3.97743
1571.11, -3.97613
1571.11, -3.97493
1571.11, -3.97384
1571.11, -3.97285
1571.11, -3.97196
1571.11, -3.97118
1571.11, -3.9705
1571.11, -3.96993
1571.1, -3.96946
1571.1, -3.96909
1571.1, -3.96883
1571.1, -3.96867
1571.1, -3.96861
1571.1, -3.96866
1571.1, -3.96881
1571.1, -3.96906
1571.09, -3.96942
1571.09, -3.96988
1571.09, -3.97044
1571.09, -3.97111
1571.09, -3.97189
1571.09, -3.97276
1571.09, -3.97374
1571.09, -3.97482
1571.08, -3.97601
1571.08, -3.9773
1571.08, -3.97869
1571.08, -3.98019
1571.08, -3.9818
1571.08, -3.9835
1571.08, -3.98531
1571.08, -3.98722
1571.08, -3.98924
1571.07, -3.99136
1571.07, -3.99359
1571.07, -3.99592
1571.07, -3.99836
1571.07, -4.00089
1571.07, -4.00354
1571.07, -4.00628
1571.07, -4.00914
1571.06, -4.01209
1571.06, -4.01515
1571.06, -4.01832
1571.06, -4.02159
1571.06, -4.02497
1571.06, -4.02845
1571.06, -4.03203
1571.06, -4.03572
1571.05, -4.03952
1571.05, -4.04342
1571.05, -4.04743
1571.05, -4.05154
1571.05, -4.05576
1571.05, -4.06008
1571.05, -4.06451
1571.05, -4.06905
1571.05, -4.07369
1571.04, -4.07844
1571.04, -4.08329
1571.04, -4.08825
1571.04, -4.09332
1571.04, -4.09849
1571.04, -4.10377
1571.04, -4.10916
1571.04, -4.11465
1571.03, -4.12025
1571.03, -4.12596
1571.03, -4.13178
1571.03, -4.1377
1571.03, -4.14373
1571.03, -4.14987
1571.03, -4.15612
1571.03, -4.16248
1571.02, -4.16894
1571.02, -4.17551
1571.02, -4.1822
1571.02, -4.18899
