["port 3","RIGHT"]
["port 5","RIGHT"]
["port 1","LEFT"]
["port 4","RIGHT"]
["port 2","LEFT"]
["port 6","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.8737028625000000e+14 1.1981904246137461e-08 -8.1394548853306592e-01
1.8738200934868300e+14 1.1877146119453557e-08 -6.7170989379140789e-01
1.8739373391440372e+14 1.1356369318162262e-08 -5.3258877661364268e-01
1.8740545994743759e+14 1.0446766496946732e-08 -4.0176181019879359e-01
1.8741718744806006e+14 9.1982113351352726e-09 -2.8715209391793256e-01
1.8742891641654672e+14 7.6890045918063972e-09 -2.0322112372836046e-01
1.8744064685317312e+14 6.0447553841465363e-09 -1.8022109635142464e-01
1.8745237875821494e+14 4.5011263623386030e-09 -2.8532045117800381e-01
1.8746411213194794e+14 3.5637959099650667e-09 -6.1877384411336289e-01
1.8747584697464791e+14 3.8641203699629033e-09 -1.0507677822802297e+00
1.8748758328659072e+14 5.1498436337869403e-09 -1.2704140146380818e+00
1.8749932106805234e+14 6.7534320158919078e-09 -1.3047620538314777e+00
1.8751106031930878e+14 8.3185672384144456e-09 -1.2483999726580040e+00
1.8752280104063616e+14 9.6758088743923216e-09 -1.1480485203528068e+00
1.8753454323231059e+14 1.0728525852961371e-08 -1.0249546237183569e+00
1.8754628689460831e+14 1.1416412823270783e-08 -8.8989746958915594e-01
1.8755803202780562e+14 1.1704361458993854e-08 -7.4926807143893392e-01
1.8756977863217888e+14 1.1578947605481257e-08 -6.0771095509152562e-01
1.8758152670800453e+14 1.1047427669772558e-08 -4.6959099006841371e-01
1.8759327625555906e+14 1.0137928275970654e-08 -3.4028370764771204e-01
1.8760502727511903e+14 8.9012605180524129e-09 -2.2810235726652184e-01
1.8761677976696112e+14 7.4171597779506463e-09 -1.4833239001353465e-01
1.8762853373136197e+14 5.8146520772640147e-09 -1.3301934844262023e-01
1.8764028916859847e+14 4.3386716169226723e-09 -2.5217239838839539e-01
1.8765204607894738e+14 3.5053181686296802e-09 -5.9862671151827385e-01
1.8766380446268562e+14 3.8885729971886866e-09 -1.0152158733512922e+00
1.8767556432009025e+14 5.1770616793983915e-09 -1.2159038549047194e+00
1.8768732565143825e+14 6.7416850373205692e-09 -1.2417506869229855e+00
1.8769908845700678e+14 8.2538399982095023e-09 -1.1819360537868036e+00
1.8771085273707303e+14 9.5543633718492280e-09 -1.0801654196127073e+00
1.8772261849191425e+14 1.0551445603449781e-08 -9.5658035051031143e-01
1.8773438572180781e+14 1.1187909607660854e-08 -8.2155583847639424e-01
1.8774615442703112e+14 1.1431109422682591e-08 -6.8135220547793074e-01
1.8775792460786159e+14 1.1269722982180505e-08 -5.4062261505784848e-01
1.8776969626457681e+14 1.0712868613576703e-08 -4.0385679311219747e-01
