


group_span_2(m), Y
0.00017, -0.0423799
0.000170225, -0.0339508
0.000170449, 0.0557458
0.000170674, 0.0335872
0.000170899, -0.0258009
0.000171124, -0.0305879
0.000171348, -0.00737613
0.000171573, 0.0180061
0.000171798, 0.0409978
0.000172022, -0.00710687
0.000172247, -0.023707
0.000172472, -0.0288089
0.000172697, 0.0182509
0.000172921, 0.0239981
0.000173146, 0.000748297
0.000173371, -0.0172929
0.000173596, -0.0103505
0.00017382, -0.0150341
0.000174045, 0.0273694
0.00017427, 0.0147926
0.000174494, 0.00568549
0.000174719, -0.025525
0.000174944, 0.00702418
0.000175169, -0.00966374
0.000175393, 0.0161532
0.000175618, -0.00102832
0.000175843, -0.0115818
0.000176067, -0.00984055
0.000176292, 0.00290971
0.000176517, 0.0116442
0.000176742, 0.00817841
0.000176966, -0.0127594
0.000177191, -0.00393232
0.000177416, 0.00162544
0.00017764, 0.00891751
0.000177865, 0.000869447
0.00017809, 0.00586283
0.000178315, -0.00184223
0.000178539, -0.000263155
0.000178764, -0.0022903
0.000178989, 0.00272257
0.000179213, 0.0102474
0.000179438, 0.00350778
0.000179663, -0.0118132
0.000179888, -0.00510995
0.000180112, 0.00647781
0.000180337, 0.00950893
0.000180562, 0.00069905
0.000180787, -0.00912745
0.000181011, -0.00267743
0.000181236, 0.00103409
0.000181461, 0.00812605
0.000181685, 0.00623405
0.00018191, -0.00804786
0.000182135, -0.00451813
0.00018236, -0.0073886
0.000182584, 0.0218373
0.000182809, -0.00563305
0.000183034, -0.0149874
0.000183258, -0.00127921
0.000183483, 0.00314672
0.000183708, 0.00338606
0.000183933, 0.00192539
0.000184157, -0.0062992
0.000184382, 0.00230179
0.000184607, 0.0138721
0.000184831, -0.00270114
0.000185056, -0.0203137
0.000185281, -0.00132059
0.000185506, 0.0198433
0.00018573, -0.00841943
0.000185955, 0.00019424
0.00018618, -0.00324795
0.000186404, 0.00826347
0.000186629, -0.00510443
0.000186854, 0.00970334
0.000187079, 0.0016226
0.000187303, -0.00401802
0.000187528, -0.0078067
0.000187753, 0.000475091
0.000187978, 0.0159029
0.000188202, 0.0140394
0.000188427, -0.0200279
0.000188652, -0.0107792
0.000188876, 0.0209717
0.000189101, 0.00839801
0.000189326, -0.00624053
0.000189551, -0.013801
0.000189775, -0.0154349
0.00019, 0.0082349



group_span_2(m), Y
0.00017, 0.00759201
0.000170225, -0.0581677
0.000170449, 0.0202903
0.000170674, 0.00630605
0.000170899, -0.00103479
0.000171124, -0.00370944
0.000171348, 0.0168675
0.000171573, -0.00144152
0.000171798, 0.00829376
0.000172022, -0.000393709
0.000172247, -7.32369e-05
0.000172472, -0.0287434
0.000172697, 0.0212051
0.000172921, 0.00652704
0.000173146, -0.00878881
0.000173371, -0.0236737
0.000173596, 0.0220117
0.00017382, 0.00176347
0.000174045, 0.00929912
0.00017427, -0.0143349
0.000174494, -0.00620955
0.000174719, 0.0218192
0.000174944, 0.00861423
0.000175169, -0.0274932
0.000175393, -0.0108049
0.000175618, 0.0094407
0.000175843, 0.00719981
0.000176067, -0.00220887
0.000176292, -0.00844356
0.000176517, 0.00046767
0.000176742, 0.00204147
0.000176966, 0.00048795
0.000177191, 0.00247074
0.000177416, 0.000801319
0.00017764, -0.00361327
0.000177865, -0.00398927
0.00017809, 0.0119035
0.000178315, 5.25286e-05
0.000178539, -2.27049e-05
0.000178764, 0.0013674
0.000178989, -0.000384721
0.000179213, -0.00122982
0.000179438, 0.00489436
0.000179663, 0.00144137
0.000179888, 0.000470125
0.000180112, -0.0092408
0.000180337, 9.356e-05
0.000180562, 0.00124787
0.000180787, 0.00658596
0.000181011, 0.00333947
0.000181236, -0.00598418
0.000181461, -0.010339
0.000181685, 0.00724664
0.00018191, 0.0144441
0.000182135, -0.00247789
0.00018236, -0.00789373
0.000182584, 0.00146809
0.000182809, 0.00106278
0.000183034, -0.00421612
0.000183258, 0.0272739
0.000183483, -0.000576018
0.000183708, -0.0299479
0.000183933, -0.0139173
0.000184157, 0.019558
0.000184382, 0.0310332
0.000184607, -0.0155941
0.000184831, -0.0316419
0.000185056, -0.010509
0.000185281, 0.018421
0.000185506, 0.0291094
0.00018573, -0.00588935
0.000185955, -0.0183594
0.00018618, -0.0219477
0.000186404, 0.0174783
0.000186629, 0.0177988
0.000186854, 0.0154484
0.000187079, -0.0257572
0.000187303, -0.020048
0.000187528, 0.0146947
0.000187753, 0.00810646
0.000187978, 0.0204988
0.000188202, -0.00938308
0.000188427, -0.0155827
0.000188652, -0.0137249
0.000188876, 0.00845186
0.000189101, 0.0192472
0.000189326, 0.00822095
0.000189551, -0.0211152
0.000189775, -0.0341199
0.00019, 0.00788114



group_span_2(m), Y
0.00017, -0.02884
0.000170225, 0.0420274
0.000170449, 0.0691457
0.000170674, -0.00123554
0.000170899, -0.0336052
0.000171124, -0.02964
0.000171348, 0.00453229
0.000171573, 0.0379258
