["port 2","RIGHT"]
["port 1","LEFT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(25, 3)
1.8737028625000000e+14 1.4566272745794017e-02 -1.0772611108284005e+00
1.8785950370757181e+14 1.4024616645783854e-02 -1.2590839545289095e-01
1.8835128251308903e+14 1.3377265235351642e-02 8.1798702913819676e-01
1.8884564283464566e+14 1.2208674320716388e-02 1.7818474498055736e+00
1.8934260505263156e+14 1.0222001624767968e-02 2.8329617524325923e+00
1.8984218976253297e+14 8.2961479478413976e-03 3.9070740847445773e+00
1.9034441777777778e+14 6.5045121405005258e-03 5.0573612197596827e+00
1.9084931013262600e+14 4.9645621600449726e-03 6.3677638313422928e+00
1.9135688808510641e+14 4.1225065490761176e-03 7.9103161527417427e+00
1.9186717312000003e+14 6.8263177466219320e-03 9.7379860038300095e+00
1.9238018695187166e+14 7.9041946836908988e-03 1.1011574267234950e+01
1.9289595152815012e+14 8.3491866566506347e-03 1.2151624396109881e+01
1.9341448903225806e+14 1.0121715743613565e-02 1.3888166009914496e+01
1.9393582188679247e+14 1.3353612518995936e-02 1.4978488469081045e+01
1.9445997275675678e+14 1.5397973933393221e-02 1.6091307114301827e+01
1.9498696455284550e+14 1.6041817360857195e-02 1.7182221112927817e+01
1.9551682043478259e+14 1.6297724961384274e-02 1.8223972994913041e+01
1.9604956381471391e+14 1.7857240138734010e-02 1.9439868151473142e+01
1.9658521836065575e+14 1.8774707173911581e-02 2.0517596191417056e+01
1.9712380800000000e+14 1.9502500651255146e-02 2.1625916933633903e+01
1.9766535692307694e+14 2.0138481916123649e-02 2.2766911987924644e+01
1.9820988958677688e+14 2.0670093595695885e-02 2.3937450700728618e+01
1.9875743071823203e+14 2.1114581851486704e-02 2.5135620391740652e+01
1.9930800531855956e+14 2.1513396006376632e-02 2.6358559144552761e+01
1.9986163866666666e+14 2.1911041595354130e-02 2.7598258918453784e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(25, 3)
1.8737028625000000e+14 6.8242734696061347e-01 -2.5141826421244815e+00
1.8785950370757181e+14 6.8354588470920918e-01 -1.9070451906479704e+00
1.8835128251308903e+14 6.8443753749894509e-01 -1.2960662103190568e+00
1.8884564283464566e+14 6.8467440862579587e-01 -6.8183749244669856e-01
1.8934260505263156e+14 6.8456799909075905e-01 -6.5434612063581518e-02
1.8984218976253297e+14 6.8472809953101532e-01 5.5416531109571887e-01
1.9034441777777778e+14 6.8492344764137814e-01 1.1774197116739884e+00
1.9084931013262600e+14 6.8487541025941778e-01 1.8041856776595315e+00
1.9135688808510641e+14 6.8452297098294035e-01 2.4341095514315731e+00
1.9186717312000003e+14 6.8463128136526941e-01 3.0663176139737045e+00
1.9238018695187166e+14 6.8464710094541814e-01 3.7030808912035855e+00
1.9289595152815012e+14 6.8487292993110982e-01 4.3435754566425899e+00
1.9341448903225806e+14 6.8726756746883932e-01 4.9908264523293724e+00
1.9393582188679247e+14 6.8631583866028678e-01 5.6392430512261997e+00
1.9445997275675678e+14 6.8495788334821484e-01 6.2904993616411176e+00
1.9498696455284550e+14 6.8409282173249963e-01 6.9442426491630078e+00
1.9551682043478259e+14 6.8396651675452869e-01 7.6020422438416766e+00
1.9604956381471391e+14 6.8213679196352772e-01 8.2567584004701562e+00
1.9658521836065575e+14 6.8202611926222434e-01 8.9088868916491073e+00
1.9712380800000000e+14 6.8149238275028989e-01 9.5650697107946137e+00
1.9766535692307694e+14 6.8048912337748246e-01 1.0224722627781876e+01
1.9820988958677688e+14 6.7928531193660580e-01 1.0887624164835305e+01
1.9875743071823203e+14 6.7799577273873224e-01 1.1553930951282778e+01
1.9930800531855956e+14 6.7661744217566866e-01 1.2223713478830328e+01
