["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 1.1566833187145688e-03 -2.6755699526314696e+00
1.8915476516666666e+14 8.4161092696508576e-04 -2.3226128151837502e+00
1.9093924408333334e+14 3.7477946145235332e-04 -2.2595577044383459e+00
1.9272372300000000e+14 3.7930853781534366e-04 -2.0117580621716189e+00
1.9450820191666666e+14 4.4511286505498262e-04 -8.0951529483017171e-01
1.9629268083333331e+14 3.8658618471415729e-04 -7.8693353813024128e-02
1.9807715975000000e+14 4.3969564032770539e-04 -4.3552216596898696e-01
1.9986163866666666e+14 6.6849320882207924e-04 -2.0290922274075721e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.2099793923649453e-01 -2.5850892156085044e+00
1.8915476516666666e+14 9.2999137394137943e-01 -1.0012017191700067e+00
1.9093924408333334e+14 9.3787798756695862e-01 5.8124485733290954e-01
1.9272372300000000e+14 9.4475549453794350e-01 2.1621802551934683e+00
1.9450820191666666e+14 9.5076306527949805e-01 3.7415551697122718e+00
1.9629268083333331e+14 9.5601217490706880e-01 5.3193088153669921e+00
1.9807715975000000e+14 9.6059842816892793e-01 6.8953634516190530e+00
1.9986163866666666e+14 9.6459751602196520e-01 8.4696851741796095e+00
("port 1","mode 1",1,"port 3",1,"transmission")
(8, 3)
1.8737028625000000e+14 1.5265896235245636e-03 2.2473862111863312e+00
1.8915476516666666e+14 1.3355528904079811e-03 4.9158002262018510e+00
1.9093924408333334e+14 6.3462073664328068e-04 2.5936005830128988e+00
1.9272372300000000e+14 1.6507000681614044e-03 -2.4451593321299503e-01
1.9450820191666666e+14 1.3560533318855365e-03 2.7195648648161836e+00
1.9629268083333331e+14 1.3856451974460307e-03 5.1724179845937190e-01
1.9807715975000000e+14 2.2157899303135910e-03 -2.6144004510866776e+00
1.9986163866666666e+14 1.7541742206625046e-03 -5.7122439907018911e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8157292270919491e-01 -3.0486352111536812e+00
1.8915476516666666e+14 3.6118974437983964e-01 -1.0849083022492769e+00
1.9093924408333334e+14 3.4193499673554134e-01 8.7679664256518475e-01
1.9272372300000000e+14 3.2375207842551867e-01 2.8363860772349563e+00
1.9450820191666666e+14 3.0658404632457492e-01 4.7938289062486614e+00
1.9629268083333331e+14 2.9039616922836042e-01 6.7490747715277530e+00
1.9807715975000000e+14 2.7515309408303407e-01 8.7020220634275365e+00
1.9986163866666666e+14 2.6080471267618666e-01 1.0652553751431538e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.2083685084435907e-01 -2.5853058438478880e+00
1.8915476516666666e+14 9.2986800543179748e-01 -1.0013795055076904e+00
1.9093924408333334e+14 9.3778753157341288e-01 5.8110097323398258e-01
1.9272372300000000e+14 9.4469100869865397e-01 2.1620648231888242e+00
1.9450820191666666e+14 9.5071450678032654e-01 3.7414625319760484e+00
1.9629268083333331e+14 9.5596950781926204e-01 5.3192347928335826e+00
1.9807715975000000e+14 9.6055162271218075e-01 6.8953052570452549e+00
1.9986163866666666e+14 9.6453734219004728e-01 8.4696383573194876e+00
("port 2","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 1.2950599474213895e-03 -2.6920251301160563e+00
1.8915476516666666e+14 9.2066148821280962e-04 -2.3914508651261603e+00
1.9093924408333334e+14 4.5012377608747285e-04 -2.3626723448243969e+00
1.9272372300000000e+14 4.1075863557278223e-04 -2.0713874481038279e+00
1.9450820191666666e+14 4.1368878566227374e-04 -8.5961005284446668e-01
1.9629268083333331e+14 3.5316107480439559e-04 -9.1189497304637365e-02
1.9807715975000000e+14 4.1183023296801767e-04 -4.0594264573309696e-01
1.9986163866666666e+14 6.0946370641118549e-04 -1.5517341684206928e-01
("port 2","mode 1",1,"port 3",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8157650102061508e-01 9.2703602495972495e-02
1.8915476516666666e+14 3.6119379132027774e-01 2.0564301750427036e+00
1.9093924408333334e+14 3.4193931816527018e-01 4.0181349378249456e+00
1.9272372300000000e+14 3.2375658646555716e-01 5.9777223644531530e+00
1.9450820191666666e+14 3.0658875257889501e-01 7.9351634317802020e+00
1.9629268083333331e+14 2.9040105550404505e-01 9.8904077051845718e+00
1.9807715975000000e+14 2.7515833132823286e-01 1.1843353043268344e+01
1.9986163866666666e+14 2.6081084369723384e-01 1.3793882777181905e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(8, 3)
1.8737028625000000e+14 1.4777462709993114e-03 -8.8917445500375891e-01
1.8915476516666666e+14 1.2840254773878628e-03 1.7818144137909355e+00
1.9093924408333334e+14 6.3577858732654323e-04 -4.6704149798812206e-01
1.9272372300000000e+14 1.6849172847351937e-03 -3.3662970442983120e+00
1.9450820191666666e+14 1.3946075380121580e-03 -4.0633932506386700e-01
1.9629268083333331e+14 1.4158219188417510e-03 -2.6471729381513067e+00
1.9807715975000000e+14 2.2284906557269663e-03 -5.7757932194585893e+00
1.9986163866666666e+14 1.7408906637840817e-03 -8.8784724610886343e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 5.1795804557509470e-04 2.7332438842012072e+00
1.8915476516666666e+14 4.8675451957903675e-04 4.0373892819039927e+00
1.9093924408333334e+14 5.0625076777284788e-04 5.3169966068683907e+00
1.9272372300000000e+14 5.1748410390720285e-04 6.5085604686573566e+00
1.9450820191666666e+14 4.9173286379921189e-04 7.6371772497124111e+00
1.9629268083333331e+14 4.4902020160624245e-04 8.7561491084100638e+00
1.9807715975000000e+14 4.2411451289914830e-04 9.9191446085611545e+00
1.9986163866666666e+14 4.2963757222657290e-04 1.1116034935702720e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8107536693038147e-01 9.2664520980644940e-02
1.8915476516666666e+14 3.6067380168302920e-01 2.0563270996760625e+00
1.9093924408333334e+14 3.4144141238514680e-01 4.0179911209023498e+00
1.9272372300000000e+14 3.2330972650206707e-01 5.9775896009027498e+00
1.9450820191666666e+14 3.0622356893209229e-01 7.9350895039259184e+00
1.9629268083333331e+14 2.9012815248579238e-01 9.8904596666029096e+00
1.9807715975000000e+14 2.7497552840143036e-01 1.1843602452351231e+01
1.9986163866666666e+14 2.6070205031859650e-01 1.3794390911709243e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(8, 3)
1.8737028625000000e+14 4.6879811103599416e-03 1.3901868660798180e+00
1.8915476516666666e+14 1.2914834451515005e-03 4.2396238559936208e+00
1.9093924408333334e+14 3.6329096963803025e-03 3.1296232395648307e+00
1.9272372300000000e+14 1.3696384481483223e-03 2.6257548962198083e+00
1.9450820191666666e+14 7.2996244224358938e-03 4.5791273410235549e+00
1.9629268083333331e+14 2.5252805346581255e-03 4.5142608712517474e+00
1.9807715975000000e+14 1.4979361739891062e-02 5.9345562474681364e+00
1.9986163866666666e+14 6.4377275386325776e-03 7.6574584885581292e+00
("port 3","mode 1",1,"port 4",1,"transmission")
(8, 3)
