["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1500, 3)
1.8737028625000000e+14 5.5081118911335354e-03 -2.7457643578473441e+00
1.8737861937369356e+14 5.4937039072231993e-03 -2.7294422256532660e+00
1.8738695249738716e+14 5.4788372513959616e-03 -2.7130362866587365e+00
1.8739528562108072e+14 5.4635153014067316e-03 -2.6965445544902256e+00
1.8740361874477428e+14 5.4477416562054006e-03 -2.6799650037924883e+00
1.8741195186846788e+14 5.4315201424228144e-03 -2.6632955688920945e+00
1.8742028499216144e+14 5.4148548210483302e-03 -2.6465341424567477e+00
1.8742861811585500e+14 5.3977499942700199e-03 -2.6296785741462321e+00
1.8743695123954859e+14 5.3802102124883991e-03 -2.6127266692645472e+00
1.8744528436324216e+14 5.3622402815279363e-03 -2.5956761874109757e+00
1.8745361748693575e+14 5.3438452700271368e-03 -2.5785248411332544e+00
1.8746195061062931e+14 5.3250305170377587e-03 -2.5612702945949857e+00
1.8747028373432288e+14 5.3058016398083640e-03 -2.5439101622477360e+00
1.8747861685801647e+14 5.2861645417952678e-03 -2.5264420075271556e+00
1.8748694998171003e+14 5.2661254208653113e-03 -2.5088633415676114e+00
1.8749528310540359e+14 5.2456907777304346e-03 -2.4911716219495061e+00
1.8750361622909719e+14 5.2248674245982396e-03 -2.4733642514787753e+00
1.8751194935279075e+14 5.2036624940464370e-03 -2.4554385770144931e+00
1.8752028247648431e+14 5.1820834481385008e-03 -2.4373918883439081e+00
1.8752861560017791e+14 5.1601380877534190e-03 -2.4192214171219830e+00
1.8753694872387147e+14 5.1378345621727909e-03 -2.4009243358823853e+00
1.8754528184756503e+14 5.1151813788896080e-03 -2.3824977571305799e+00
1.8755361497125862e+14 5.0921874136672825e-03 -2.3639387325325902e+00
1.8756194809495219e+14 5.0688619208308916e-03 -2.3452442522143730e+00
1.8757028121864575e+14 5.0452145437974221e-03 -2.3264112441837326e+00
1.8757861434233934e+14 5.0212553258479819e-03 -2.3074365738940781e+00
1.8758694746603291e+14 4.9969947211184421e-03 -2.2883170439676848e+00
1.8759528058972647e+14 4.9724436058258591e-03 -2.2690493940934107e+00
1.8760361371342006e+14 4.9476132897107875e-03 -2.2496303011283323e+00
1.8761194683711362e+14 4.9225155276730543e-03 -2.2300563794188157e+00
1.8762027996080722e+14 4.8971625316232134e-03 -2.2103241813693839e+00
1.8762861308450078e+14 4.8715669824841009e-03 -2.1904301982856138e+00
1.8763694620819434e+14 4.8457420423803060e-03 -2.1703708615193080e+00
1.8764527933188794e+14 4.8197013669301096e-03 -2.1501425439490607e+00
1.8765361245558150e+14 4.7934591176710551e-03 -2.1297415618266831e+00
1.8766194557927506e+14 4.7670299745519095e-03 -2.1091641770283895e+00
1.8767027870296866e+14 4.7404291484558969e-03 -2.0884065997440797e+00
1.8767861182666222e+14 4.7136723937375403e-03 -2.0674649916517431e+00
1.8768694495035578e+14 4.6867760206970241e-03 -2.0463354696127656e+00
1.8769527807404938e+14 4.6597569079507573e-03 -2.0250141099392125e+00
1.8770361119774294e+14 4.6326325146458696e-03 -2.0034969532762625e+00
1.8771194432143650e+14 4.6054208924200361e-03 -1.9817800101513354e+00
1.8772027744513009e+14 4.5781406970739121e-03 -1.9598592672426889e+00
1.8772861056882366e+14 4.5508111998117566e-03 -1.9377306944186976e+00
1.8773694369251722e+14 4.5234522980183121e-03 -1.9153902526024325e+00
1.8774527681621081e+14 4.4960845254087790e-03 -1.8928339025228633e+00
1.8775360993990438e+14 4.4687290614843543e-03 -1.8700576144031267e+00
1.8776194306359797e+14 4.4414077401165892e-03 -1.8470573786446614e+00
1.8777027618729153e+14 4.4141430571589032e-03 -1.8238292175692903e+00
1.8777860931098509e+14 4.3869581769241470e-03 -1.8003691982649035e+00
1.8778694243467869e+14 4.3598769373405380e-03 -1.7766734465967289e+00
1.8779527555837225e+14 4.3329238536465647e-03 -1.7527381624272749e+00
1.8780360868206581e+14 4.3061241204025852e-03 -1.7285596360946260e+00
1.8781194180575941e+14 4.2795036116285330e-03 -1.7041342661860759e+00
1.8782027492945297e+14 4.2530888788518146e-03 -1.6794585786393437e+00
1.8782860805314653e+14 4.2269071468297014e-03 -1.6545292471932187e+00
1.8783694117684012e+14 4.2009863067217646e-03 -1.6293431152017890e+00
1.8784527430053369e+14 4.1753549064385519e-03 -1.6038972188085463e+00
1.8785360742422725e+14 4.1500421379411642e-03 -1.5781888114616169e+00
1.8786194054792084e+14 4.1250778211860311e-03 -1.5522153897412894e+00
1.8787027367161441e+14 4.1004923844809842e-03 -1.5259747204406380e+00
1.8787860679530797e+14 4.0763168409666591e-03 -1.4994648688232091e+00
1.8788693991900156e+14 4.0525827609416464e-03 -1.4726842279585621e+00
1.8789527304269512e+14 4.0293222398043518e-03 -1.4456315490030982e+00
1.8790360616638869e+14 4.0065678613092287e-03 -1.4183059722718796e+00
1.8791193929008228e+14 3.9843526559472653e-03 -1.3907070589078545e+00
1.8792027241377584e+14 3.9627100542038891e-03 -1.3628348229286205e+00
1.8792860553746944e+14 3.9416738345179692e-03 -1.3346897633935235e+00
1.8793693866116300e+14 3.9212780657805965e-03 -1.3062728963960559e+00
1.8794527178485656e+14 3.9015570442700893e-03 -1.2775857865608022e+00
1.8795360490855016e+14 3.8825452249496664e-03 -1.2486305776779290e+00
1.8796193803224372e+14 3.8642771471113497e-03 -1.2194100220894002e+00
1.8797027115593728e+14 3.8467873544394591e-03 -1.1899275084010505e+00
1.8797860427963088e+14 3.8301103095907769e-03 -1.1601870870746960e+00
1.8798693740332444e+14 3.8142803035178209e-03 -1.1301934934371205e+00
1.8799527052701800e+14 3.7993313597910151e-03 -1.0999521676243471e+00
1.8800360365071159e+14 3.7852971343120905e-03 -1.0694692709787925e+00
1.8801193677440516e+14 3.7722108108641712e-03 -1.0387516984184892e+00
1.8802026989809872e+14 3.7601049930493309e-03 -1.0078070863137882e+00
1.8802860302179231e+14 3.7490115932808090e-03 -9.7664381543082557e-01
1.8803693614548588e+14 3.7389617195352893e-03 -9.4527100853808488e-01
